Symbol Name, Symbol Address, Function Size, Matched
calcActorAxis__2MRFPQ29JGeometry8TVec3_f_PQ29JGeometry8TVec3_f_PQ29JGeometry8TVec3_f_PC9LiveActor,8000FA80,74,false
getXDir__Q29JGeometry64TRotation3_Q29JGeometry38TMatrix34_Q29JGeometry13SMatrix34C_f___CFRQ29JGeometry8TVec3_f_,8000FB00,18,false
calcActorAxisY__2MRFPQ29JGeometry8TVec3_f_PC9LiveActor,8000FB20,54,false
calcActorAxisZ__2MRFPQ29JGeometry8TVec3_f_PC9LiveActor,8000FB80,54,false
faceToVector__2MRFPQ29JGeometry9TQuat4_f_Q29JGeometry8TVec3_f_f,8000FBE0,94,false
getYDir__Q29JGeometry9TQuat4_f_CFRQ29JGeometry8TVec3_f_,8000FC80,64,false
faceToVector__2MRFPA4_fQ29JGeometry8TVec3_f_f,8000FCF0,198,false
faceToPoint__2MRFPA4_fQ29JGeometry8TVec3_f_f,8000FE90,88,false
sub_8000FF20,8000FF20,AC,false
sub_8000FFD0,8000FFD0,44,false
sub_80010020,80010020,3C,false
makeQuatFromRotate__2MRFPQ29JGeometry9TQuat4_f_PC9LiveActor,80010060,8,false
makeQuatAndFrontFromRotate__2MRFPQ29JGeometry9TQuat4_f_PQ29JGeometry8TVec3_f_PC9LiveActor,80010070,48,false
getZDir__Q29JGeometry9TQuat4_f_CFRQ29JGeometry8TVec3_f_,800100C0,64,false
sub_80010130,80010130,48,false
sub_80010180,80010180,78,false
sub_80010200,80010200,68,false
sub_80010270,80010270,6C,false
sub_800102E0,800102E0,5C,false
turnQuatUpToGravity__2MRFPQ29JGeometry9TQuat4_f_RCQ29JGeometry9TQuat4_f_PC9LiveActor,80010340,140,false
normalize__Q29JGeometry9TQuat4_f_Fv,80010480,68,false
sub_800104F0,800104F0,70,false
blendQuatFromGroundAndFront__2MRFPQ29JGeometry9TQuat4_f_PC9LiveActorRCQ29JGeometry8TVec3_f_ff,80010560,94,false
sub_80010600,80010600,90,false
resetPosition__2MRFP9LiveActor,80010690,78,false
resetPosition__2MRFP9LiveActorRCQ29JGeometry8TVec3_f_,80010710,34,false
resetPosition__2MRFP9LiveActorPCc,80010750,8C,false
makeMtxOnMapCollision__2MRFPQ29JGeometry64TPosition3_Q29JGeometry38TMatrix34_Q29JGeometry13SMatrix34C_f___P9LiveActorf,800107E0,130,false
sub_80010910,80010910,60,false
calcVelocityMoveToDirectionHorizon__2MRFPQ29JGeometry8TVec3_f_PC9LiveActorRCQ29JGeometry8TVec3_f_f,80010970,78,false
calcVelocityMoveToDirectionHorizon__2MRFPQ29JGeometry8TVec3_f_PC9LiveActorRCQ29JGeometry8TVec3_f_ffff,800109F0,DC,false
sub_80010AD0,80010AD0,8C,false
